akhir nya costum aku datang sekian lama tunggu paling suka banget blakang buka depan buka yuk mau bo hari mau isi slot buat malam minggu langsung dm saja wajib dp	joy
duwet maut ibarat bintang sepak bola belgia hazard lukakusaling lengkap layan cape menang	joy
aku jatuh cinta pandang mata	love
fase begini tiba-tiba mood melow-nangis-pengen marah enggak bisa-grutu-ntr pura pura biasa aja-ntr akhir pengin omong te- capek -baru biasa	sadness
sedih banget lihat xiaojun minta maaf wayv belum bisa coba	sadness
ketika kamu dapat feedback positif atas karya prestasi rasa bangga tak bendung pengeras suara medali olahraga	joy
lebih aneh hobi dengar lagulagu sedih biar bisa sedih	sadness
nyaris banget syukur banget sih kaget saja lihat nilai wkwk	joy
kemarin rencna mau sok thr gitu eh hubung sobat misqueen enggak jadi deh thr dokter tht enak kali biar full bass kayak promo free sale	sadness
sebar duit lewat dana kaget nih cuma buat kamu paling gesit sikat sekarang	joy
benci banget lihat orang profesional begini lihat banget tukang nyinyir memang dokter enggak kode etik atur etika bersosmed	anger
dasar netizen ymc kayak begitu disalahin swing begini disalahin jadi benar siapa benar aku istri sah nya woojin	anger
sih gwinam kayak punya ingin hidup tinggi kan dendam sama chongsan	anger
alhamdulillahatas percaya klien psikotes calon karyawan nya jalan lancar biro psikologi talenta aditama banjarmasin	joy
galak pas tau sifat lewat beberapa video jadi suka banget sama aa	love
tau elah tolol banget finishingnya busuk asli padahal lapang nguasain tanding nyeselkan absen trophy saja musim mengcape benar lah	anger
biasa ignore block buah bentuk biar kasus leceh seksual rasa langkah baik hanya diam akan diam laku enggak akan buat kayak begitu orang such logic	sadness
oppa nih aku flower bucket buat kamu maafin aku bikin kamu ambek enggak ngabarin tadi aku sayang kamuuu	love
twitter jadi lari sosmed curhat sosmed enggak bebas curhat sini masuk ahahahahahhaha	joy
maaf oot kemarin malam chat aku antem sama pacar te- aku bilang udahan saja maki begitu te- balesnya doang sekarang enggak ngechat aku engga kalian putus belum sih terima kasih	fear
pengin percaya diri buat mens team takut kesandung wkwk cuman kayany grup neraka sih inimah	fear
aowkowkwok mau sedih biasa jadi tertawa saja	joy
hahgue sedih banget	sadness
coba deh sekali saja lu jadi gue rasai jatuh cinta diam diem lu perhati gue gue neng diam diem tiba tiba dapat kabar lu jadi sama cewek gue diem diam diam sakit ndiri	sadness
with the girlfriend maaf bang dipinjem dulu sih eneng i need my long overdue dose of lexyness	joy
pemipin penting banyak ide bukan beri ide te- te- setir bagaimana cara bisa jangka kurang th indonesia jadi super power rakyat makmur gampang kok kunci perlu hukum koruptor segala hutang exploitasi sumber alam sanggup	joy
ih teman kosku habis ikut venue begitu kan acara prodinyaa eh balik kos meriang nular satu kosan sekarang aku pilek meriang buhu jadi takut	fear
ramadhan kareem alhamdulilah hasil selesai jeruji kuliah jelas semua tidak mungkin jadi dukung orang tua wkwk kado ultah boleh laaaa	joy
nah satu cebong tolol nongol	anger
aku rasa jebak jurang gelap tak ujung	sadness
bgstt rambut lawan iya sedih soal tari kayak enggak tarik sama chanyang huhu	sadness
sama aku begitu kak sender kadang mikir aku enggak kayak teman ku banyak begitu suka aku mau kepala belum pernah rasa didekatin hehe gapapa sih kan lebih baik jomblo yuk semangat jomblo ketemu jodoh	joy
seperti sop bank nya bang tepat sasar kan enggak semua orang langgan bank inti mudah koq bukan sulit	joy
tokoh n capres abadi orang gagal masa laluny arti orang paling benci allah hanya prabocor otakny bocor bocor bocor pengikutny apa otakny moter	anger
hati bakar marah aku pikir khianat	anger
aa sedih banget progja selesai semuaa hwaa enggak mau udahan kkn-nya	sadness
suka banget bagus sama western begitu vibesnya	love
kapan kamu mau pura pura bahagia	joy
pagi pagi sedih	sadness
tl gue sepi banget deh	sadness
gue ptm bangkee padahal enak arghhhh	anger
ngeri usaha tenang diri	fear
gatau aneh banget kok orang-orang banyak suka sama	fear
tak suka aku takpe aku boleh blah aku harap aku deh penuh tolong kau minta baik terima kasih	love
anjir bsbsnya mimpi ipar nyata jelma siluman babi kalo pikir korelasi sih sama sikap sifat tingkah laku enggak layak sebut manusia wkwk cok baru kali aku bisa benci banget sama manusia	anger
you masuk lagu japan album kan dulu sempat kaget pas denger kayak enggak abis temu lagu bagus pentagon	joy
ketika kamu rasa seperti kamu ha- usaha keras singkir semua takut ganggu tangan terkepal ke depan wajah ketakutan berkeringat	fear
